symbol,entry_date,high_52wk,breakout_level,entry,sl,tp,quantity,position_value,risk_amount,volume_ratio,exit_date,exit_price,exit_reason,pnl_rupees,r_multiple,holding_days
ABB,2024-02-22,5134.0,5144.27,5425.0,5134.0,6007.0,8,43400.0,2328.0,9.2,2024-03-11,5841.35,TIME_EXIT,3330.8,1.43,18
ABB,2024-03-27,6034.05,6046.12,6279.35,6034.05,6769.95,10,62793.5,2453.0,2.88,2024-04-12,6769.95,TP_HIT,4906.0,2.0,16
ABB,2024-05-06,6790.0,6803.58,6940.35,6790.0,7241.05,14,97164.9,2104.9,2.03,2024-05-13,7241.05,TP_HIT,4209.8,2.0,7
ABB,2024-05-16,8188.95,8205.33,8305.15,8188.95,8537.55,12,99661.8,1394.4,1.83,2024-05-21,8537.55,TP_HIT,2788.8,2.0,5
ABB,2024-06-14,8765.0,8782.53,9020.0,8765.0,9530.0,9,81180.0,2295.0,2.97,2024-06-19,8765.0,SL_HIT,-2295.0,-1.0,5
ABB,2026-04-09,6584.5,6597.67,6614.0,6584.5,6673.0,15,99210.0,442.5,1.53,2026-04-10,6673.0,TP_HIT,885.0,2.0,1
ABB,2026-04-22,7319.5,7334.14,7587.0,7319.5,8122.0,9,68283.0,2407.5,4.36,2026-04-24,7319.5,SL_HIT,-2407.5,-1.0,2
ACC,2022-09-14,2592.95,2598.14,2743.2,2592.95,3043.7,16,43891.2,2404.0,4.95,2022-09-16,2592.95,SL_HIT,-2404.0,-1.0,2
ACC,2024-01-25,2418.0,2422.84,2467.65,2418.0,2566.95,40,98706.0,1986.0,7.22,2024-01-30,2566.95,TP_HIT,3972.0,2.0,5
ACC,2024-02-09,2584.0,2589.17,2628.05,2584.0,2716.15,38,99865.9,1673.9,3.54,2024-02-13,2584.0,SL_HIT,-1673.9,-1.0,4
ACC,2024-02-16,2691.45,2696.83,2720.4,2691.45,2778.3,36,97934.4,1042.2,1.82,2024-02-19,2691.45,SL_HIT,-1042.2,-1.0,3
ACMESOLAR,2026-06-02,324.4,325.05,334.75,324.4,355.45,241,80674.75,2494.35,6.07,2026-06-03,324.4,SL_HIT,-2494.35,-1.0,1
ACMESOLAR,2026-06-04,337.9,338.58,345.85,337.9,361.75,289,99950.65,2297.55,1.67,2026-06-08,361.75,TP_HIT,4595.1,2.0,4
AIAENG,2022-08-10,2508.5,2513.52,2582.0,2508.5,2729.0,34,87788.0,2499.0,6.97,2022-08-16,2508.5,SL_HIT,-2499.0,-1.0,6
AIAENG,2022-11-02,2737.0,2742.47,2773.7,2737.0,2847.1,36,99853.2,1321.2,1.51,2022-11-03,2737.0,SL_HIT,-1321.2,-1.0,1
AIAENG,2023-05-31,3033.9,3039.97,3064.7,3033.9,3126.3,32,98070.4,985.6,2.77,2023-06-01,3033.9,SL_HIT,-985.6,-1.0,1
AIAENG,2024-01-31,4096.0,4104.19,4107.35,4096.0,4130.05,24,98576.4,272.4,2.49,2024-02-01,4096.0,SL_HIT,-272.4,-1.0,1
AIAENG,2024-08-12,4795.0,4804.59,4813.35,4795.0,4850.05,20,96267.0,367.0,3.23,2024-08-13,4795.0,SL_HIT,-367.0,-1.0,1
AIAENG,2026-05-27,4206.1,4214.51,4428.1,4206.1,4872.1,11,48709.1,2442.0,33.96,2026-06-11,4318.5,TIME_EXIT,-1205.6,-0.49,15
AIAENG,2026-06-22,4775.0,4784.55,4848.0,4775.0,4994.0,20,96960.0,1460.0,1.57,2026-06-23,4994.0,TP_HIT,2920.0,2.0,1
AIAENG,2026-06-30,5060.0,5070.12,5081.4,5060.0,5124.2,19,96546.6,406.6,1.83,2026-07-01,5060.0,SL_HIT,-406.6,-1.0,1
APLAPOLLO,2022-12-02,1177.0,1179.35,1185.5,1177.0,1202.5,84,99582.0,714.0,2.78,2022-12-05,1177.0,SL_HIT,-714.0,-1.0,3
APLAPOLLO,2023-02-15,1225.6,1228.05,1231.35,1225.6,1242.85,81,99739.35,465.75,1.61,2023-02-16,1242.85,TP_HIT,931.5,2.0,1
APLAPOLLO,2023-06-22,1369.9,1372.64,1391.4,1369.9,1434.4,71,98789.4,1526.5,2.01,2023-06-23,1369.9,SL_HIT,-1526.5,-1.0,1
